Symbol,returns,volatility
3MINDIA,-0.45489903996895514,-1.0915125481663817
AARTIDRUGS,0.21422831103624337,1.8585700178395037
AARTIIND,-0.6868212030767702,1.0738400882565962
AAVAS,1.3314559030842286,-0.13514011508631643
ABB,0.13758610255727408,-0.9498206857602596
ABCAPITAL,-0.25398038196705014,0.22516397435988972
ABFRL,0.03243395020198332,-0.07911303791398888
ACC,-0.10140411535964552,-1.2180503874520001
ACCELYA,-0.5579268373449128,-0.8843082082128211
ADANIENT,3.330030992233743,0.7395940826905218
ADANIGREEN,5.5546853120086235,0.7242148886608142
ADANIPORTS,0.32936958298921704,-0.3714063752433927
ADANIPOWER,1.0366565701010158,1.6460998364656287
ADVENZYMES,0.4375859434046705,0.4246853635432776
AEGISCHEM,-0.4694201274520243,0.43900213782862446
AHLUCONT,-0.15846033822694644,0.2580637970871953
AIAENG,-0.5514363395963843,-1.0109651128107395
AJANTPHARM,0.22903875856995934,-1.0217242269826423
AKZOINDIA,-0.6744334125628326,-1.5168323769887477
ALKEM,0.12241859038071355,-1.5224009857547725
ALKYLAMINE,2.246293731453841,1.4974499276576447
ALLCARGO,1.244163941085538,0.27168855182836654
AMARAJABAT,-1.0195822727355928,-1.0594828154607614
AMBER,1.622290715434336,0.14654353197716213
AMBUJACEM,0.030497708192016647,-1.0184192341526257
APARINDS,-0.5078750732751628,-0.12203393516531842
APLAPOLLO,0.5104204877320508,2.5815440379563697
APLLTD,-0.2903010248829797,-0.7087235888923881
APOLLOHOSP,1.340403448751624,-0.3294286654453842
APOLLOTYRE,-0.71087575284545,-0.18878291198930358
ARVINDFASN,-2.2874227394383406,0.816902368739421
ASAHIINDIA,0.634950909950612,0.12215435171292036
ASHOKA,-0.7327260181025375,0.8444473169733194
ASHOKLEY,0.017902755130680726,0.7443953659145925
ASIANPAINT,0.49950699712852054,-1.4139548922348635
ASTERDM,-0.35221880177297565,-0.05556064043952729
ASTRAL,0.5346011897842354,0.2584997798302639
ASTRAZEN,0.46151402390781454,-0.06128647548329252
ATUL,0.8385854816993279,-1.1236056027466688
AUBANK,0.6706034882955947,0.261794415191989
AUROPHARMA,-0.735711928982664,0.18607522384703756
AVANTIFEED,0.16163055082554914,0.21832290657295836
AXISBANK,-0.21915244447768664,-0.01562965973997781
BAJAJ-AUTO,-0.3755315239244754,-1.3851334998381142
BAJAJCON,-1.7642549758159893,-0.17912540875722657
BAJAJELEC,0.7787614963948472,0.10463848227232513
BAJAJFINSV,0.7838147630178228,-0.20503616700071656
BAJAJHLDNG,0.19732744116030887,-0.6654194981764048
BAJFINANCE,0.9944222660757094,0.13270538444921917
BALKRISIND,0.7533903829466979,-0.6955288123488097
BALMLAWRIE,-1.3050373642719135,-0.20432234526434545
BALRAMCHIN,1.8221738094642819,0.7840861467574641
BANDHANBNK,-1.0854704184410076,1.4938993340531006
BANKBARODA,-0.6950156444334942,0.3205261974260538
BANKINDIA,-1.5110509179326708,0.4406838167606288
BASF,0.4981745713692916,-0.016959131729222525
BATAINDIA,0.1798043417555496,-1.1890338990669285
BDL,0.43178913630273497,0.34277301033040497
BEL,0.8030381426707105,-0.043349187986868334
BEML,0.6089095239730987,0.35066082631143397
BERGEPAINT,0.4190828941503358,-1.3515868020358943
BHARATFORG,0.010179673945117524,-0.022741929250316293
BHARATRAS,0.8740861639692892,0.46711287013185293
BHARTIARTL,0.6024525589887136,-0.6768757806497278
BHEL,-0.6956023935717671,1.0350127230017436
BIOCON,-1.2281867048684136,0.14933280841394642
BIRLACORPN,0.7693551645981037,0.15758284141204593
BLUEDART,0.4359733879765456,-0.5576700387816148
BLUESTARCO,-0.21878101320908636,-0.9105288420697312
BOSCHLTD,-0.9454858143263968,-0.6773866450395872
BPCL,-0.4853472292366517,-0.2793558445136313
BRIGADE,0.8430902968850635,0.5018424126361962
BRITANNIA,-0.6116623454540832,-1.5429564267826918
BSE,1.2153090870894476,-0.3111050128144623
BSOFT,1.9320813456022263,0.7716871515688116
CANBK,-0.6078503838395288,0.4746942673845924
CANFINHOME,0.63166174074818,-0.020903546071607344
CAPLIPOINT,0.7932802702376521,0.9572705683869257
CARBORUNIV,0.7399385403869788,-0.5127317679645157
CASTROLIND,-1.0299391733055574,-0.9713083692579405
CCL,0.21288515527181584,-0.49425380436234734
CEATLTD,-0.9778163904362422,-0.879104885687038
CENTRALBK,-1.1700943179807441,1.0353922432601563
CENTURYPLY,1.3067635005647065,-0.08066941595670392
CENTURYTEX,-0.14311155998205602,1.4301872568457787
CERA,0.42453197664571257,-0.7753447187556823
CESC,-1.799035566359668,1.8805689045072354
CGCL,1.718978060682228,0.13457004882887805
CHALET,-0.6625681373627166,0.39264085487904415
CHAMBLFERT,1.120625852836917,0.004045185366247183
CHOLAFIN,-0.11071581200218417,2.659348711778275
CHOLAHLDNG,-0.18920193515496975,-0.9709500427690648
CIPLA,0.13826732935630393,-1.293790405710262
COALINDIA,-1.3509625670452583,-0.8387217207880306
COCHINSHIP,-0.8334862518280742,-0.8166897669153672
COLPAL,-0.7444665120190566,-1.8942037685843398
CONCOR,-0.6932861336369595,-0.27570564242931067
COROMANDEL,0.09832058623010807,-1.244084511888655
CREDITACC,0.2888222332264209,0.4034382788614077
CRISIL,0.14028663775777392,-0.8129356487281513
CROMPTON,0.1978557579442238,-0.942501300986923
CUB,-1.1327287342629648,-0.6215938738628309
CUMMINSIND,-0.5351208372896246,-0.7621709944735693
CYIENT,0.06097487348774374,-0.15691824365716664
DABUR,-0.4814719949509601,-1.8832352072876162
